Ticker,Name
LGTRTRUH Index,Bloomberg Barclays Global Aggregate Treasuries Total Return Index Hedged USD
LGCPTRUH Index,Bloomberg Barclays Global Aggregate Corporate Total Return Index   Hedged USD
LGDRTRUH Index,Bloomberg Barclays Global Aggregate Credit Total Return Index Value Hedged USD
LUATTRUU Index,Bloomberg Barclays US Treasury Total Return Unhedged USD
LUGCTRUU Index,Bloomberg Barclays US Agg Gov/Credit Total Return Value Unhedged USD
LUACTRUU Index,Bloomberg Barclays US Corporate Total Return Value Unhedged USD
LUCRTRUU Index,Bloomberg Barclays US Credit Total Return Value Unhedged USD
LEGATRUU Index,Bloomberg Barclays Global-Aggregate Total Return Index Value Unhedged USD
LEGATRUH Index,Bloomberg Barclays Global-Aggregate Total Return Index Value Hedged USD
LGTRTRUU Index,Bloomberg Barclays Global Agg Treasuries Total Return Index Value Unhedged USD
LGTRTRUH Index,Bloomberg Barclays Global Aggregate Treasuries Total Return Index Hedged USD
BGAGTRUH Index,Bloomberg Barclays Global Agg Government-Related TR Index Value Hedged USD
LGCPTRUU Index,Bloomberg Barclays Global Agg Corporate Total Return Index Value Unhedged USD
LGCPTRUH Index,Bloomberg Barclays Global Aggregate Corporate Total Return Index   Hedged USD
LGASTRUU Index,Bloomberg Barclays Global Agg Securitized Total Return Index Value Unhedged USD
LGCITRUH Index,Bloomberg Barclays Global Aggregate Industrial Total Return Index Hedged USD
LGAUTRUH Index,Bloomberg Barclays Global Agg Utility Total Return Index Value Hedged USD
LGAFTRUH Index,Bloomberg Barclays Global Aggregate Financial Total Return Index Hedged USD
LGAUTRUU Index,Bloomberg Barclays Global Agg Utility Total Return Index Value Unhedged USD
LGDRTRUU Index,Bloomberg Barclays Global Agg Credit Total Return Index Value Unhedged USD
LC07TRUU Index,Bloomberg Barclays U.S. Universal Total Return Index Value Unhedged U
LBUSTRUU Index,Bloomberg Barclays US Agg Total Return Value Unhedged USD
LUATTRUU Index,Bloomberg Barclays US Treasury Total Return Unhedged USD
LD08TRUU Index,Bloomberg Barclays US Aggregate: Government-Related Total Return Unhedged USD
LUACTRUU Index,Bloomberg Barclays US Corporate Total Return Value Unhedged USD
LD19TRUU Index,Bloomberg Barclays U.S. Securitized: MBS/ABS/CMBS and Covered TR Index Value Unh
LUMSTRUU Index,Bloomberg Barclays US MBS Index Total Return Value Unhedged USD
LUCMTRUU Index,Bloomberg Barclays CMBS: Erisa Eligible Unhedged USD
LUABTRUU Index,Bloomberg Barclays US Agg ABS Total Return Value Unhedged USD
LUGCTRUU Index,Bloomberg Barclays US Agg Gov/Credit Total Return Value Unhedged USD
LP06TREU Index,Bloomberg Barclays Pan-European Aggregate Total Return Index Value Un
LBEATREU Index,Bloomberg Barclays EuroAgg Total Return Index Value Unhedged EUR
LAPCTRJU Index,Bloomberg Barclays Asian Pacific Aggregate Total Return Index Value Unhedged JPY
LG30TRUU Index,Bloomberg Barclays Global High Yield Total Return Index Value Unhedge
LG30TRUH Index,Bloomberg Barclays Global High Yield Total Return Index Value Hedged USD
LF98TRUU Index,Bloomberg Barclays US Corporate High Yield Total Return Index Value Unhedged USD
LP01TREU Index,Bloomberg Barclays Pan-European High Yield Total Return Index Value U
LP01TREH Index,Bloomberg Barclays Pan-European High Yield Total Return Index Value Hedged EUR
I31732US Index,Bloomberg Barclays EM USD Aggregate High Yield Total Return Index Unhedged USD
LG20TRUU Index,Bloomberg Barclays EM Hard Currency Aggregate TR Index Value Unhedged USD
EMUSTRUU Index,Bloomberg Barclays EM USD Aggregate Total Return Index Value Unhedged
EMLCTRUU Index,Bloomberg Barclays EM Local Currency Government TR Index Unhedged USD
I01551US Index,Bloomberg Barclays Global Inflation-Linked: U.S. TIPS Total Return Un
LF94TRUU Index,Bloomberg Barclays Global Inflation-Linked Total Return Index Value Unhedged USD
LMBITR Index,Bloomberg Barclays Municipal Bond Index Total Return Index Value Unhedged USD
BSELTRUU Index,Bloomberg Barclays Emerging Markets LatAm Total Return Index Value Unhedged USD
BSEETRUU Index,Bloomberg Barclays Emerging Markets EMEA Total Return Index Value Unhedged USD
BSEITRUU Index,Bloomberg Barclays Emerging Markets Asia Total Return Index Value Unhedged USD
LCEMTRUU Index,Bloomberg Barclays Global EM Local Currency Govt Universal TR Index Value Unhedg
EMAMTRUU Index,Bloomberg Barclays EM Local Currency Latam TR Index Value Unhedged USD
EMEUTRUU Index,Bloomberg Barclays EM Local Curr Europe/Mideast/Africa TR Index Unhedged USD
LCE8TRUU Index,Bloomberg Barclays EM Local Currency Universal Asia TR Index Unhedged USD
JPEICORE Index,J.P. Morgan EMBI Global Core
SPBDLL Index,S&P/LSTA U.S. Leveraged Loan 100 Index
W0G1 Index,ICE BofA Global Government Index
G0Q0 Index,ICE BofA US Treasury Index
G0BC Index,ICE BofA Global Corporate Index
C0A0 Index,ICE BofA US Corporate Index
HW00 Index,ICE BofA Global High Yield Index
H0A0 Index,ICE BofA US High Yield Index
H100 Index,ICE BofA US High Yield 100 Index
HP00 Index,ICE BofA European Currency High Yield Index
EMUH Index,ICE BofA High Yield US Emerging Markets Corporate Plus Index
ACHY Index,ICE BofA Asian Dollar High Yield Corporate Index
IGOV Index,ICE BofA BBB & Lower Sovereign USD External Debt Index
LDMP Index,ICE BofA Local Debt Markets Plus Index
HW10 Index,ICE BofA BB Global High Yield Index
HW20 Index,ICE BofA Single-B Global High Yield Index
HW30 Index,ICE BofA CCC & Lower Global High Yield Index
H0A1 Index,ICE BofA BB US High Yield Index
H0A2 Index,ICE BofA Single-B US High Yield Index
H0A3 Index,ICE BofA CCC & Lower US High Yield Index
HP10 Index,ICE BofA BB European Currency High Yield Index
HP20 Index,ICE BofA Single-B European Currency High Yield Index
HP30 Index,ICE BofA CCC & Lower European Currency High Yield Index
IGDA Index,ICE BofA BB & Lower Asia Sovereign USD External Debt Index
IGDE Index,ICE BofA BB & Lower EMEA Sovereign USD External Debt Index
IGDL Index,ICE BofA BB & Lower Latin America Sovereign USD External Debt Index
LDMA Index,ICE BofA Asia Local Debt Markets Plus Index
LDME Index,ICE BofA EMEA Local Debt Markets Plus Index
LDML Index,ICE BofA Latin America Local Debt Markets Plus Index
G0QI Index,ICE BofA US Inflation-Linked Treasury Index
M0A0 Index,ICE BofA US Mortgage Backed Securities Index
CMBS Index,ICE BofA US Fixed Rate CMBS Index
CMBY Index,ICE BofA US Fixed Rate Agency CMBS Index
R0A0 Index,ICE BofA US Fixed Rate Asset Backed Securities Index
R0F0 Index,ICE BofA US Floating Rate Asset Backed Securities Index
CMOS Index,ICE BofA US Agency CMO Index
G0P0 Index,ICE BofA US Agency Index
VXA0 Index,ICE BofA US Convertible Index
H0FA Index,ICE BofA US Fallen Angel High Yield Index
H0A0 Index,ICE BofA US High Yield Index
H0BR Index,ICE BofA US High Yield Broadcasting Index
H0CV Index,ICE BofA US High Yield Cable & Satellite TV Index
H0ET Index,ICE BofA US High Yield Entertainment & Film Index
H0DM Index,ICE BofA US High Yield Diversified Media Index
H0PU Index,ICE BofA US High Yield Publishing & Printing Index
H0TY Index,ICE BofA US High Yield Technology Index
H0TC Index,ICE BofA US High Yield Telecommunications Index
H0CO Index,ICE BofA US High Yield Consumer Products Index
H0FR Index,ICE BofA US High Yield Food & Drug Retail Index
H0FO Index,ICE BofA US High Yield Food, Beverage & Tobacco Index
H0AG Index,ICE BofA US High Yield Gaming Index
H0HL Index,ICE BofA US High Yield Healthcare Index
H0LE Index,ICE BofA US High Yield Leisure Index
H0RE Index,ICE BofA US High Yield Restaurants Index
H0SR Index,ICE BofA US High Yield Super Retail Index
H0SE Index,ICE BofA US High Yield Services Index
H0CH Index,ICE BofA US High Yield Chemicals Index
H0CT Index,ICE BofA US High Yield Containers Index
H0PA Index,ICE BofA US High Yield Paper Index
H0RA Index,ICE BofA US High Yield Railroad Index
H0SH Index,ICE BofA US High Yield Transportation Excluding Air & Rail Index
H0AE Index,ICE BofA US High Yield Aerospace Index
H0AI Index,ICE BofA US High Yield Air Transportation Index
H0AU Index,ICE BofA US High Yield Automotive & Auto Parts Index
H0BL Index,ICE BofA US High Yield Building Materials Index
H0HB Index,ICE BofA US High Yield Homebuilders & Real Estate Index
H0EV Index,ICE BofA US High Yield Environmental Index
H0EN Index,ICE BofA US High Yield Energy Index
H0ME Index,ICE BofA US High Yield Metals & Mining Index
H0ST Index,ICE BofA US High Yield Steel Index
H0EL Index,ICE BofA US High Yield Utility Index
H0CA Index,ICE BofA US High Yield Capital Goods Index
H0IN Index,ICE BofA US High Yield Insurance Index
H0AH Index,ICE BofA US High Yield Hotels Index
H0FI Index,ICE BofA US High Yield Diversified Financial Services Index
H0BA Index,ICE BofA US High Yield Banking & Thrifts Index
GI00 Index,ICE BofA Global Corporate & High Yield Index
GIAU Index,ICE BofA Global Automotive Index
GIBI Index,ICE BofA Global Basic Industry Excluding Building Index
GIBS Index,ICE BofA Global Basic Industry Index
GICG Index,ICE BofA Global Capital Goods & Building Materials Index
GICP Index,ICE BofA Global Capital Goods Index
GIEN Index,ICE BofA Global Energy Index
GIHC Index,ICE BofA Global Healthcare Index
GIME Index,ICE BofA Global Media Index
GIRE Index,ICE BofA Global Real Estate Index
GITE Index,ICE BofA Global Technology & Electronics Index
